epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,869.064,1.69091,2.4081,2.12672,0.2881,0.33804,0.29389,0.14301,1.85278,2.51758,2.50482,0.00128399,0.00128399,0.00128399
43,889.602,1.64234,2.4026,2.08468,0.5861,0.25836,0.27665,0.13273,1.96983,2.58414,2.60868,0.00128046,0.00128046,0.00128046
44,910.203,1.66337,2.42793,2.08524,0.43856,0.38593,0.34841,0.16369,1.90027,2.30117,2.55721,0.00127692,0.00127692,0.00127692
45,930.797,1.69432,2.38363,2.11153,0.33483,0.39142,0.31175,0.16089,1.81222,2.39542,2.50543,0.00127338,0.00127338,0.00127338
46,951.318,1.6468,2.36376,2.05628,0.52935,0.29935,0.35374,0.17939,1.80388,2.36966,2.4917,0.00126985,0.00126985,0.00126985
47,971.894,1.61105,2.27285,2.03597,0.39034,0.31985,0.28799,0.13572,1.77323,2.42152,2.45087,0.00126631,0.00126631,0.00126631
48,992.456,1.63527,2.33927,2.09552,0.58031,0.25716,0.31355,0.16277,1.77846,2.46251,2.42785,0.00126277,0.00126277,0.00126277
49,1013.07,1.58243,2.25954,2.0395,0.38043,0.32146,0.28451,0.1249,1.88625,2.38693,2.53378,0.00125923,0.00125923,0.00125923
50,1033.62,1.65289,2.28852,2.0805,0.44392,0.41049,0.39857,0.20366,1.80923,2.18275,2.50779,0.0012557,0.0012557,0.0012557
51,1054.18,1.58519,2.30331,2.05344,0.47312,0.36827,0.38289,0.1855,1.92525,2.23561,2.57906,0.00125216,0.00125216,0.00125216
52,1074.66,1.6127,2.30615,2.05367,0.45129,0.38143,0.38045,0.17893,1.9683,2.2307,2.62205,0.00124862,0.00124862,0.00124862
53,1095.21,1.58787,2.21676,2.02,0.55445,0.36193,0.40598,0.23318,1.82989,2.19787,2.43712,0.00124509,0.00124509,0.00124509
54,1115.74,1.56116,2.21842,2.00847,0.62872,0.34981,0.42393,0.23457,1.74273,2.15968,2.41558,0.00124155,0.00124155,0.00124155
55,1136.26,1.51375,2.12799,1.96613,0.3849,0.33983,0.33452,0.17261,1.78565,2.32078,2.47657,0.00123801,0.00123801,0.00123801
56,1156.77,1.53565,2.13129,1.98768,0.53571,0.42132,0.42715,0.22487,1.76616,2.08085,2.40368,0.00123448,0.00123448,0.00123448
57,1177.22,1.54649,2.17482,1.98927,0.41049,0.32051,0.33169,0.16714,1.84709,2.29878,2.49443,0.00123094,0.00123094,0.00123094
58,1197.71,1.54802,2.17725,1.95908,0.78829,0.35255,0.47147,0.24705,1.73963,2.0916,2.39499,0.0012274,0.0012274,0.0012274
59,1218.26,1.52519,2.1831,1.9768,0.45461,0.44379,0.45609,0.24001,1.82365,1.9887,2.51492,0.00122387,0.00122387,0.00122387
60,1238.77,1.49786,2.10374,1.9397,0.46958,0.37161,0.41715,0.22911,1.75654,2.0109,2.45228,0.00122033,0.00122033,0.00122033
61,1259.25,1.51679,2.13875,1.9724,0.54164,0.44943,0.46045,0.24465,1.74066,2.15543,2.40219,0.00121679,0.00121679,0.00121679
62,1279.81,1.46817,2.05602,1.92875,0.72399,0.36055,0.46253,0.2551,1.71834,2.02284,2.37149,0.00121326,0.00121326,0.00121326
63,1300.33,1.54833,2.11279,1.97233,0.50562,0.4669,0.48971,0.2625,1.72285,2.03708,2.45605,0.00120972,0.00120972,0.00120972
64,1320.82,1.51444,2.04297,1.94153,0.69305,0.42581,0.50457,0.28965,1.63278,2.14136,2.33388,0.00120618,0.00120618,0.00120618
65,1341.37,1.52036,2.03508,1.94221,0.62749,0.40247,0.45662,0.22189,1.80547,2.1028,2.43992,0.00120265,0.00120265,0.00120265
66,1361.9,1.49118,2.02595,1.90553,0.63358,0.42352,0.4768,0.26128,1.76597,1.92938,2.40679,0.00119911,0.00119911,0.00119911
67,1382.47,1.50821,2.01783,1.91798,0.51729,0.40258,0.40757,0.23429,1.76523,1.9753,2.40591,0.00119557,0.00119557,0.00119557
68,1403.01,1.48728,2.03833,1.92554,0.53799,0.39787,0.42708,0.22951,1.72508,2.17233,2.38004,0.00119204,0.00119204,0.00119204
69,1423.51,1.48042,1.97417,1.90049,0.56713,0.35518,0.41743,0.23178,1.67847,2.10489,2.29344,0.0011885,0.0011885,0.0011885
70,1444.05,1.50433,2.03185,1.94362,0.48951,0.43755,0.46726,0.26079,1.77565,2.12801,2.43456,0.00118496,0.00118496,0.00118496
71,1464.54,1.47456,2.06484,1.91671,0.59251,0.45899,0.50204,0.2872,1.69707,1.87797,2.34233,0.00118143,0.00118143,0.00118143
72,1485.02,1.42966,1.9525,1.8676,0.55366,0.4912,0.50811,0.28997,1.68313,1.86563,2.34412,0.00117789,0.00117789,0.00117789
73,1505.52,1.46045,1.93813,1.88611,0.52168,0.48199,0.50056,0.25972,1.66962,2.08378,2.27875,0.00117435,0.00117435,0.00117435
74,1526.02,1.47599,1.9178,1.88874,0.56455,0.48261,0.52554,0.28919,1.61491,1.90869,2.23233,0.00117082,0.00117082,0.00117082
75,1546.6,1.47662,1.91355,1.86725,0.62255,0.43963,0.54209,0.30556,1.66025,1.92689,2.3253,0.00116728,0.00116728,0.00116728
76,1567.19,1.42979,1.94363,1.85995,0.63871,0.46247,0.55745,0.29477,1.68894,1.8447,2.34027,0.00116374,0.00116374,0.00116374
77,1587.74,1.49143,1.98513,1.91756,0.5311,0.38235,0.44355,0.25018,1.67818,2.05294,2.36418,0.00116021,0.00116021,0.00116021
78,1608.26,1.41736,1.94497,1.8683,0.5697,0.50293,0.53411,0.306,1.65088,1.80941,2.26534,0.00115667,0.00115667,0.00115667
79,1628.84,1.47555,1.94673,1.87547,0.54773,0.545,0.54227,0.28866,1.69614,1.83974,2.3086,0.00115313,0.00115313,0.00115313
